event_id,family,method,param_name,param_value,payload_bytes,payload_kb,effective_bpp,pixels,pixel_accuracy,balanced_accuracy,precision,recall,f1,dice,iou
CRACK500_20160222_080850_1281_361,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9111926020408119,0.4999999999999973,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_080850_1281_361,DEO,L1_geometry_metrology,geometry,1.0,1454.0,1.419921875,0.05795599489795918,200704,0.4013073979591817,0.6714785651793236,0.12917439703153896,0.9999999999999438,0.22879441343467333,0.22879441343467333,0.12917439703153896
CRACK500_20160222_080850_1281_361,DEO,L2_visual_mask_support,support_side,8.0,1577.0,1.5400390625,0.06285873724489796,200704,0.9357561383928525,0.7389358533953286,0.6913819875775861,0.49960727109512454,0.5800547155108416,0.5800547155108416,0.4085049772925176
CRACK500_20160222_080850_1281_361,DEO,L2_visual_mask_support,support_side,16.0,1601.0,1.5634765625,0.06381536989795919,200704,0.9656210140306075,0.8996111095403662,0.7987311310434916,0.8193447037701515,0.808906612992891,0.808906612992891,0.6791294642856827
CRACK500_20160222_080850_1281_361,DEO,L2_visual_mask_support,support_side,24.0,1629.0,1.5908203125,0.06493144132653061,200704,0.9760243941326483,0.9191180980631195,0.876373944232276,0.8499214542189828,0.8629450294060779,0.8629450294060779,0.7589299133309574
CRACK500_20160222_080850_1281_361,DEO,L2_visual_mask_support,support_side,32.0,1660.0,1.62109375,0.06616709183673469,200704,0.9823521205357094,0.946338633725514,0.8991169237647608,0.902547127468531,0.9008287597194607,0.9008287597194607,0.8195527026338163
CRACK500_20160222_080850_1281_361,DEO,L2_visual_mask_support,support_side,48.0,1733.0,1.6923828125,0.06907684948979592,200704,0.9880520567601992,0.9635938292722097,0.9317622033138753,0.9338532315977932,0.9328065451175228,0.9328065451175228,0.8740744630572455
CRACK500_20160222_080850_1281_361,DEO,L2_visual_mask_support,support_side,64.0,1807.0,1.7646484375,0.07202646683673469,200704,0.9913305165816277,0.9740769079134113,0.9494746255309104,0.9530969479353145,0.9512823379477029,0.9512823379477029,0.9070909867577474
CRACK500_20160222_080850_1281_361,DEO,L3_residual_refinement,residual_fraction,0.0,2667.0,2.6044921875,0.10630580357142858,200704,0.9823521205357094,0.946338633725514,0.8991169237647608,0.902547127468531,0.9008287597194607,0.9008287597194607,0.8195527026338163
CRACK500_20160222_080850_1281_361,DEO,L3_residual_refinement,residual_fraction,0.25,3181.0,3.1064453125,0.1267936862244898,200704,0.9873794244260156,0.9598068005468958,0.9312425968751237,0.9262791741471652,0.9287542537119727,0.9287542537119727,0.8669852439216055
CRACK500_20160222_080850_1281_361,DEO,L3_residual_refinement,residual_fraction,0.5,3712.0,3.625,0.14795918367346939,200704,0.9913554288903013,0.9704700995914266,0.9570478950059111,0.9450740574505753,0.9510232881379336,0.9510232881379336,0.9066200215284764
CRACK500_20160222_080850_1281_361,DEO,L3_residual_refinement,residual_fraction,0.75,4223.0,4.1240234375,0.16832748724489796,200704,0.9958246970663216,0.9887969330920406,0.9729368526561436,0.9802513464990473,0.9765804030548123,0.9765804030548123,0.9542326597487191
CRACK500_20160222_080850_1281_361,DEO,L3_residual_refinement,residual_fraction,1.0,4778.0,4.666015625,0.19044961734693877,200704,0.9999999999999951,0.9999999999999691,0.9999999999999438,0.9999999999999438,0.9999999994999438,0.9999999994999438,0.9999999999999438
CRACK500_20160222_080850_1281_361,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.9999999999999691,0.9999999999999438,0.9999999999999438,0.9999999994999438,0.9999999994999438,0.9999999999999438
CRACK500_20160222_080850_1281_721,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9912507971938727,0.4999999999999975,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_080850_1281_721,DEO,L1_geometry_metrology,geometry,1.0,488.0,0.4765625,0.0194515306122449,200704,0.9461395886479546,0.9728320968290352,0.1397421613878609,0.9999999999994306,0.2452171482277692,0.2452171482277692,0.1397421613878609
CRACK500_20160222_080850_1281_721,DEO,L2_visual_mask_support,support_side,8.0,604.0,0.58984375,0.024075255102040817,200704,0.9951371173469339,0.8358322750329951,0.745901639343792,0.6736902050110058,0.7079593053057773,0.7079593053057773,0.5479388605833497
CRACK500_20160222_080850_1281_721,DEO,L2_visual_mask_support,support_side,16.0,618.0,0.603515625,0.02463329081632653,200704,0.997120137117342,0.9141621374898842,0.8392857142852308,0.8297266514801653,0.8344788082051513,0.8344788082051513,0.7159705159701641
CRACK500_20160222_080850_1281_721,DEO,L2_visual_mask_support,support_side,24.0,631.0,0.6162109375,0.025151466836734693,200704,0.9981166294642808,0.9519184578305266,0.8827777777772874,0.9048974943047239,0.8937007869011487,0.8937007869011487,0.8078291814942512
CRACK500_20160222_080850_1281_721,DEO,L2_visual_mask_support,support_side,32.0,646.0,0.630859375,0.02574936224489796,200704,0.9983707350127502,0.954304430598538,0.9048158640221503,0.9094533029607578,0.9071286561311267,0.9071286561311267,0.8300415800411486
CRACK500_20160222_080850_1281_721,DEO,L2_visual_mask_support,support_side,48.0,679.0,0.6630859375,0.027064732142857144,200704,0.9987992267219339,0.9697607078377642,0.9238947957465451,0.9402050113889863,0.9319785487515585,0.9319785487515585,0.8726215644815684
CRACK500_20160222_080850_1281_721,DEO,L2_visual_mask_support,support_side,64.0,711.0,0.6943359375,0.028340242346938774,200704,0.9990682796556073,0.9724364450858471,0.9480296973152781,0.9453302961270243,0.9466780719260366,0.9466780719260366,0.8987547374115329
CRACK500_20160222_080850_1281_721,DEO,L3_residual_refinement,residual_fraction,0.0,1653.0,1.6142578125,0.06588807397959184,200704,0.9983707350127502,0.954304430598538,0.9048158640221503,0.9094533029607578,0.9071286561311267,0.9071286561311267,0.8300415800411486
CRACK500_20160222_080850_1281_721,DEO,L3_residual_refinement,residual_fraction,0.25,1760.0,1.71875,0.07015306122448979,200704,0.9987892617984645,0.9683445572913579,0.925238898256928,0.9373576309789651,0.9312588396692255,0.9312588396692255,0.8713605082049384
CRACK500_20160222_080850_1281_721,DEO,L3_residual_refinement,residual_fraction,0.5,1876.0,1.83203125,0.07477678571428571,200704,0.9992277184311176,0.9750568915041655,0.960852043753045,0.9504555808650624,0.9556255362873292,0.9556255362873292,0.9150219298240597
CRACK500_20160222_080850_1281_721,DEO,L3_residual_refinement,residual_fraction,0.75,1982.0,1.935546875,0.07900191326530612,200704,0.9996014030612196,0.9851232517206296,0.9838337182442357,0.9703872437352105,0.9770642196829495,0.9770642196829495,0.9551569506721104
CRACK500_20160222_080850_1281_721,DEO,L3_residual_refinement,residual_fraction,1.0,2115.0,2.0654296875,0.0843032525510204,200704,0.9999999999999951,0.9999999999997128,0.9999999999994306,0.9999999999994306,0.9999999994994306,0.9999999994994306,0.9999999999994306
CRACK500_20160222_080850_1281_721,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.9999999999997128,0.9999999999994306,0.9999999999994306,0.9999999994994306,0.9999999994994306,0.9999999999994306
CRACK500_20160222_080850_1921_1,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9956851881377502,0.4999999999999975,0.0,0.0,0.0,0.0,0.0
